feature	sample	value
1749	VDTJO	B	1
1750	ORTBA	B	1
1751	HLDUU	B	1
1752	TFGZU	B	1
1753	XMVOP	B	1
1754	HLOZK	B	1
1755	EZRQL	B	1
1756	ZYAGW	B	1
1757	QKTEB	B	1
1758	LCYPH	B	1
1759	CQGNH	B	1
1760	HZFYM	B	1
1761	GVGDK	B	1
1762	EXDDC	B	1
1763	GLGMH	B	1
1764	CQPQW	B	1
1765	HUWYH	B	1
1766	JSEFJ	B	1
1767	QWGYR	B	1
1768	EOARI	B	1
1769	DDVFE	B	1
1770	YZZYV	B	1
1771	LSAZI	B	1
1772	IBRUI	B	1
1773	BHRQO	B	1
1774	OCRGM	B	1
1775	CCNSC	B	1
1776	KAGID	B	1
1777	OXNYK	B	1
1778	XFZHN	B	1
1779	UDRNS	B	1
1780	OQWYF	B	1
1781	SINBO	B	1
1782	UVIAJ	B	1
1783	GBZDE	B	1
1784	FAPAS	B	1
1785	VLONF	B	1
1786	RGPOB	B	1
1787	TUKPZ	B	1
1788	XVNLY	B	1
1789	UFDZI	B	1
1790	JLERX	B	1
1791	XTXQC	B	1
1792	BHJCM	B	1
1867	JXKNE	C	1
1868	JLMND	C	1
1869	LEAUR	C	1
1871	XKIEX	C	1
1885	JOKYM	C	1
1886	WTWWF	C	1
1895	AXJRS	C	1
1898	VAUAJ	C	1
1901	MTOEZ	C	1
1903	ZRGVS	C	1
1910	VLLJN	C	1
1915	GRMXH	C	1
1916	XIDWA	C	1
1918	BYEOM	C	1
1922	ACLKL	C	1
1925	MRQCP	C	1
1927	ISEXX	C	1
1928	KVELM	C	1
1948	TZMWT	C	1
1952	SZZDE	C	1
1953	XULZS	C	1
1956	VJKYP	C	1
1958	UYARE	C	1
1972	KWBRR	C	1
1974	DQLYE	C	1
1977	LFCWG	C	1
1978	EAWNL	C	1
1988	JGZYQ	C	1
1992	HFACF	C	1
1993	FSOJO	C	1
1995	WKOCP	C	1
2003	GOIRF	C	1
2004	LWFUA	C	1
2005	HVPNP	C	1
2011	CNCVW	C	1
2014	JPQHX	C	1
2016	TWWFM	C	1
2025	ESXEO	C	1
2031	BTEUV	C	1
2035	IBEJJ	C	1
2036	MLQJX	C	1
2039	NORJD	C	1
2040	IQKCE	C	1
2046	MUOZU	C	1
2048	FOKQO	C	1
2051	IQNUZ	C	1
2052	QRDTB	C	1
2053	DBGAR	C	1
2056	MSXAO	C	1
2062	ZLFGF	C	1
2065	GANBL	C	1
2070	GNVEW	C	1
2075	VAOHB	C	1
2086	DNGNE	C	1
2093	GRKIV	C	1
2107	NXRXF	C	1
2109	FNNAL	C	1
2111	HSIOD	C	1
2114	RQUBC	C	1
2117	QGPSO	C	1
2118	WJIED	C	1
2123	UTEBJ	C	1
2131	YWUBQ	C	1
2137	FWAOX	C	1
2139	XASCI	C	1
2151	YHNZJ	C	1
2153	UPCRI	C	1
2154	YMZHY	C	1
2165	KFOLH	C	1
2170	CSJAK	C	1
2175	TYRCB	C	1
2180	HRMLB	C	1
2182	VLMSM	C	1
2185	RNITN	C	1
2188	FGIDE	C	1
2195	KSNAQ	C	1
2196	MODTA	C	1
2204	ILPDP	C	1
2211	CAPBY	C	1
2215	LQOVX	C	1
2216	QNKAI	C	1
2225	MKGRT	C	1
2234	XRHMP	C	1
2237	RHGQX	C	1
2242	NTDTD	C	1
2253	XJHIN	C	1
2260	FMZYA	C	1
2263	HLUHA	C	1
2265	JGNOL	C	1
2268	YVITD	C	1
2272	QOENK	C	1
2274	TSDQI	C	1
2278	WZXFY	C	1
2288	HEEOL	C	1
2303	FDKTY	C	1
2304	EREGJ	C	1
2306	BPCGT	C	1
2307	EXRAQ	C	1
2315	MNKLI	C	1
2318	VJEAH	C	1
2325	ZOLZZ	C	1
2327	XPKSU	C	1
2330	SFSZG	C	1
2331	SVCIA	C	1
2332	CNVZM	C	1
2335	LVIWG	C	1
2339	YEBCA	C	1
2345	LVZJU	C	1
2349	RPXUK	C	1
2353	NSQLK	C	1
2359	EKUFC	C	1
2367	JYRJC	C	1
2369	SKEBY	C	1
2371	JBXNU	C	1
2378	HFNEH	C	1
2379	OTWHK	C	1
2398	WFNGD	C	1
2400	EHCCW	C	1
2405	NBUUB	C	1
2406	RMTXV	C	1
2417	JHYHH	C	1
2418	FTDSZ	C	1
2420	GQGWJ	C	1
2423	KPAWP	C	1
2426	XKGWG	C	1
2431	NDYMN	C	1
2432	KHZJD	C	1
2433	RLIIH	C	1
2434	SELVR	C	1
2435	PQGMQ	C	1
2438	PPVUL	C	1
2441	QAGRN	C	1
2443	POMDY	C	1
2444	EOYTZ	C	1
2453	LARYU	C	1
2457	SHQBX	C	1
2459	BQBCD	C	1
2460	EFTAB	C	1
2463	AOHFD	C	1
2467	YKCTV	C	1
2468	TVEFG	C	1
2476	ZFKVJ	C	1
2482	DHZIV	C	1
2492	XUPAU	C	1
2502	HPYRT	C	1
2503	UYBRZ	C	1
2506	NVOGI	C	1
2509	EUAYR	C	1
2510	GUHCY	C	1
2511	ZPQUT	C	1
2527	RTPEW	C	1
2530	PTXIR	C	1
2532	LRCTK	C	1
2534	RRCQK	C	1
2535	HFYVO	C	1
2540	ZWDPJ	C	1
2544	VWASZ	C	1
2546	PYOUH	C	1
2548	JSMKM	C	1
2550	IOQXR	C	1
2562	MDYMY	C	1
2565	RTJTE	C	1
2568	YFNOZ	C	1
2569	ZJKGM	C	1
2574	NNBGU	C	1
2575	TNRAB	C	1
2580	YMDOF	C	1
2581	SWDGD	C	1
2583	KKMLV	C	1
2584	IARXB	C	1
2585	HJUYR	C	1
2586	WYDZD	C	1
2590	VGUQB	C	1
2596	OCSIS	C	1
2598	ZLIHZ	C	1
2601	OHWJX	C	1
2602	CTHAK	C	1
2606	OELRK	C	1
2611	QLINO	C	1
2613	WVQYZ	C	1
2619	YBAHF	C	1
2620	GQNLT	C	1
2622	KNZDP	C	1
2623	DPOSX	C	1
2626	YUZXR	C	1
2635	EGDXB	C	1
2641	LOLFC	C	1
2642	ESCIY	C	1
2644	DLUZT	C	1
2654	UFDHK	C	1
2656	BWTSY	C	1
2660	DPWGQ	C	1
2662	DDKFS	C	1
2663	UGCDR	C	1
2665	UAKKL	C	1
2666	VWTNZ	C	1
2672	GZBCN	C	1
2673	EZRWG	C	1
2678	KTCKR	C	1
2680	VDTJO	C	1
2686	EZRQL	C	1
2688	QKTEB	C	1
2693	EXDDC	C	1
2697	JSEFJ	C	1
2700	DDVFE	C	1
2703	IBRUI	C	1
2707	KAGID	C	1
2709	XFZHN	C	1
2711	OQWYF	C	1
2714	GBZDE	C	1
2721	JLERX	C	1
2724	SGHMF	C	1
2725	RWZGR	C	1
2726	PGRAV	C	1
2727	FARCA	C	1
2728	EGQPY	C	1
2729	SESCY	C	1
2730	AYMGT	C	1
2731	DBIVX	C	1
2732	KNQIB	C	1
2733	ARBTI	C	1
2734	ZZYOJ	C	1
2735	LVNWT	C	1
2736	KZDSB	C	1
2737	KLVXD	C	1
2738	RGLOO	C	1
2739	VHVGI	C	1
2740	IEDLB	C	1
2741	BOLOS	C	1
2742	AYVEK	C	1
2743	QVVCC	C	1
2744	PHEAY	C	1
2745	BHHMC	C	1
2746	QOKJN	C	1
2747	CUNXU	C	1
2748	EZRZA	C	1
2749	HJWJW	C	1
2750	CJKKG	C	1
2751	DKQBO	C	1
2752	BTSTE	C	1
2753	WEJKO	C	1
2754	POTDK	C	1
2755	HLHSV	C	1
2756	PHXAP	C	1
2757	MKFRJ	C	1
2758	BGZRU	C	1
2759	XNCFK	C	1
2760	WTSGR	C	1
2761	YRYQH	C	1
2762	GUZYT	C	1
2797	ASPLE	D	1
2799	JLMND	D	1
2801	ECXEL	D	1
2807	XPVTP	D	1
2811	DKFZM	D	1
2818	JHUML	D	1
2821	ZRKVC	D	1
2829	VAUAJ	D	1
2836	MXPQW	D	1
2841	VLLJN	D	1
2843	FHGMD	D	1
2846	GRMXH	D	1
2848	OCFRN	D	1
2849	BYEOM	D	1
2850	ESLQL	D	1
2851	VOUMY	D	1
2857	ADEMO	D	1
2858	ISEXX	D	1
2862	IMQVR	D	1
2863	FEKJV	D	1
2867	IJOJG	D	1
2870	MHQGZ	D	1
2871	PRPXD	D	1
2872	XIQHB	D	1
2873	EHCSW	D	1
2877	XPLOY	D	1
2883	SZZDE	D	1
2886	HODXE	D	1
2887	VJKYP	D	1
2889	UYARE	D	1
2890	KNUDK	D	1
2892	CPQEL	D	1
2893	DZWMP	D	1
2894	KBCCG	D	1
2896	XSFEP	D	1
2900	XYJIP	D	1
2903	KWBRR	D	1
2907	LSMSQ	D	1
2909	EAWNL	D	1
2914	LOICA	D	1
2915	NLZLI	D	1
2916	UFOKM	D	1
2920	ELTKA	D	1
2921	FKPOU	D	1
2927	OQLQS	D	1
2934	GOIRF	D	1
2940	CQBOO	D	1
2943	OHETO	D	1
2945	JPQHX	D	1
2946	SYHVW	D	1
2949	DZJYT	D	1
2954	LLRBB	D	1
2958	AZYPW	D	1
2959	ZXRZM	D	1
2963	STIIE	D	1
2964	ZTADG	D	1
2978	ZNMSD	D	1
2981	XWYAC	D	1
2990	DFLXO	D	1
2995	JPZFT	D	1
2999	LWYWO	D	1
3004	GDNHZ	D	1
3006	VAOHB	D	1
3007	AQAPH	D	1
3016	BDYVO	D	1
3020	QLBUI	D	1
3021	ZVOWO	D	1
3022	CYYOG	D	1
3029	SIFZA	D	1
3032	QEKBR	D	1
3033	KLVLA	D	1
3036	GCVLF	D	1
3043	HHYER	D	1
3047	LGHNE	D	1
3051	IKUJL	D	1
3063	MRADV	D	1
3064	SLCKX	D	1
3073	MQZCS	D	1
3075	QTQPA	D	1
3076	UVZFW	D	1
3078	HURJR	D	1
3086	SJYSD	D	1
3088	PROOK	D	1
3097	XOHPK	D	1
3098	UZAAN	D	1
3101	CSJAK	D	1
3104	NHXSU	D	1
3105	EOYJY	D	1
3107	VTVDU	D	1
3108	KTNPA	D	1
3115	UFKRF	D	1
3120	VRVEA	D	1
3123	LVNMM	D	1
3126	KSNAQ	D	1
3128	LDIEZ	D	1
3129	HNOGJ	D	1
3135	ILPDP	D	1
3137	JRZEK	D	1
3138	GVLKW	D	1
3147	QNKAI	D	1
3151	LKYNI	D	1
3155	UBBQG	D	1
3157	DFKGZ	D	1
3161	EBWGK	D	1
3163	OJCTA	D	1
3165	XRHMP	D	1
3168	RHGQX	D	1
3170	RGFTW	D	1
3172	MCKGV	D	1
3174	YTLEM	D	1
3177	GPWTG	D	1
3178	UCEYZ	D	1
3179	IWAOM	D	1
3186	RSFOQ	D	1
3187	GRPRK	D	1
3188	QUOSY	D	1
3193	VCKJA	D	1
3201	RHRBH	D	1
3207	EFSWG	D	1
3210	NMTEW	D	1
3211	HADAS	D	1
3212	FTHMZ	D	1
3218	JEEPQ	D	1
3221	IHEBF	D	1
3222	EMZPU	D	1
3224	NPGHB	D	1
3226	QJIOB	D	1
3229	KHUNK	D	1
3235	EREGJ	D	1
3236	SSCNM	D	1
3240	VGJYO	D	1
3243	YULPA	D	1
3248	KUCVT	D	1
3250	WKZGP	D	1
3252	HZSXA	D	1
3260	OYGUA	D	1
3262	SVCIA	D	1
3264	RCAFZ	D	1
3269	FQKKE	D	1
3272	KBBHK	D	1
3280	RPXUK	D	1
3281	KJVMH	D	1
3285	NYPEE	D	1
3288	ZTLUP	D	1
3291	MZVFV	D	1
3296	HEEQF	D	1
3297	HAAGW	D	1
3301	YNOWN	D	1
3306	FWKDI	D	1
3307	LVMIX	D	1
3310	OTWHK	D	1
3311	ZMJXU	D	1
3312	LOCHG	D	1
3315	YPWTS	D	1
3318	QJNKX	D	1
3321	DZAPC	D	1
3322	YDSJV	D	1
3326	ZWMHV	D	1
3328	JZOLY	D	1
3329	WFNGD	D	1
3331	EHCCW	D	1
3332	LBBAO	D	1
3338	ACPDM	D	1
3346	XPJBS	D	1
3352	BNOMI	D	1
3355	RCFLW	D	1
3358	UIVIA	D	1
3361	HDGJE	D	1
3366	PQGMQ	D	1
3367	BXZDN	D	1
3371	CQZDA	D	1
3372	QAGRN	D	1
3375	EOYTZ	D	1
3376	CCMQO	D	1
3377	IDYFL	D	1
3381	APSMF	D	1
3384	LARYU	D	1
3387	ZFJIO	D	1
3388	SHQBX	D	1
3395	GGENF	D	1
3398	YKCTV	D	1
3400	GXGLS	D	1
3401	TXZYM	D	1
3403	YONAJ	D	1
3404	TBIEY	D	1
3405	BYBPB	D	1
3406	WPLBO	D	1
3412	IRGWL	D	1
3416	NSHMS	D	1
3420	NHDMJ	D	1
3424	AQIJB	D	1
3426	SVFHY	D	1
3429	QLVSG	D	1
3434	UYBRZ	D	1
3437	NVOGI	D	1
3452	OTKVG	D	1
3462	ZSAUF	D	1
3463	LRCTK	D	1
3466	HFYVO	D	1
3470	ZZHDL	D	1
3472	XXLSD	D	1
3474	QISFB	D	1
3485	NZIMJ	D	1
3486	ZMJUF	D	1
3492	AUHTZ	D	1
3493	MDYMY	D	1
3495	SGLDF	D	1
3497	WNBGV	D	1
3499	YFNOZ	D	1
3502	MIFEK	D	1
3503	FJWKQ	D	1
3504	SFJIJ	D	1
3505	NNBGU	D	1
3508	WTYXE	D	1
3509	NNIMA	D	1
3512	SWDGD	D	1
3513	WHUQM	D	1
3516	HJUYR	D	1
3519	LKJDP	D	1
3520	QURVY	D	1
3525	SOKJO	D	1
3527	OCSIS	D	1
3529	ZLIHZ	D	1
3532	OHWJX	D	1
3535	OFWCH	D	1
3538	XOULI	D	1
3544	WVQYZ	D	1
3545	JLXUT	D	1
3548	UGPZM	D	1
3560	NRBZA	D	1
3563	QNRZN	D	1
3564	MTNOI	D	1
3569	ZPPEP	D	1
3570	OGAPN	D	1
3572	LOLFC	D	1
3574	RQSQD	D	1
3580	JRGKQ	D	1
3584	QRUCI	D	1
3587	BWTSY	D	1
3593	DDKFS	D	1
3594	UGCDR	D	1
3601	PQDHT	D	1
3607	HEIHQ	D	1
3608	TZDLW	D	1
3610	RTTQE	D	1
3614	TFGZU	D	1
3615	XMVOP	D	1
3617	EZRQL	D	1
3623	GVGDK	D	1
3625	GLGMH	D	1
3627	HUWYH	D	1
3628	JSEFJ	D	1
3637	CCNSC	D	1
3640	XFZHN	D	1
3642	OQWYF	D	1
3646	FAPAS	D	1
3647	VLONF	D	1
3653	XTXQC	D	1
3654	BHJCM	D	1
3655	SGHMF	D	1
3664	ARBTI	D	1
3668	KLVXD	D	1
3674	QVVCC	D	1
3676	BHHMC	D	1
3679	EZRZA	D	1
3685	POTDK	D	1
3686	HLHSV	D	1
3689	BGZRU	D	1
3692	YRYQH	D	1
3694	KXXAY	D	1
3695	MHBLO	D	1
3696	RYDRW	D	1
3697	MDNDM	D	1
3698	TOQXY	D	1
3699	QDCKB	D	1
3700	JSSEX	D	1
3701	MWGXC	D	1
3702	POHRJ	D	1
3703	IDKHU	D	1
3704	TRBZU	D	1
3705	KBKOV	D	1
3706	EYDYH	D	1
3707	GTOCD	D	1
3708	SCNLN	D	1
3709	YMLAO	D	1
3710	NIYVN	D	1
3711	GQKUD	D	1
3712	DNCUS	D	1
3713	XWVBQ	D	1
3714	QYVBK	D	1
3715	JORRV	D	1
3716	OKTEP	D	1
3717	YQSMW	D	1
3718	OFRHE	D	1
3719	LXAOW	D	1
3720	JKGOY	D	1
3721	ZJDOL	D	1
3722	CEQPB	D	1
3723	GDYVE	D	1
3724	WBIAG	D	1
